rating,review,place,date,des
5,Worth every penny,Aurangabad,5 months ago,Awesome.....Tv
5,Wonderful,Thiruvalla,5 months ago,Good clarity
1,Waste of money!,Karimnagar,5 months ago,vest product
5,Classy product,Patna,5 months ago,Nice product and value for money.
5,Simply awesome,Kanpur,5 months ago,Nice tv
5,Worth every penny,Bengaluru,5 months ago,A detailed review after using for a day picture quality ok and at this price range 43inch tht to full HD u can go for it was eagerly waiting on time delivery and installation brilliant buy for me sound quality superb 😍👌😘 thank you xiaomi and flipkart
5,Brilliant,Nalgonda District,5 months ago,excellent tv mind blowing
5,Just wow!,Certified Buyer,5 months ago,Very good product at it's price, can't ask for more at this price.
5,Wonderful,Certified Buyer,5 months ago,very nice
5,Fabulous!,Jaunpur District,5 months ago,picture quality  very good this price range
5,Worth every penny,Mumbai,5 months ago,connectivity issues with phone
5,Mind-blowing purchase,Chennai,5 months ago,Good tv
5,Perfect product!,Rajkot,5 months ago,good resolution
5,Great product,New Delhi,5 months ago,Like the service and product
4,Good choice,Puducherry,5 months ago,Nice
5,Wonderful,Mumbai,5 months ago,good nice product
5,Terrific,Kunnamangalam,5 months ago,GOOD
4,Really Nice,Kozhikode District,5 months ago,good
5,Best in the market!,Nalahati,5 months ago,Best in price. Thank you
5,Mind-blowing purchase,Mahad,5 months ago,Very nice Features & sound quality is very very nice . really I loved it.Thanks
5,Just wow!,Nagpur,5 months ago,one of the best android TV in this range with this big screen. Casting is a problem sometimes but still better than other TV's. other than this best TV right now in this range
5,Excellent,Nizamabad,5 months ago,Good
5,Wonderful,Tirunelveli District,5 months ago,super tv
4,Very Good,Gandhidham,5 months ago,good product in this price range but connection issue ☹️please solve it
4,Good quality product,Mumbai,5 months ago,very good products
4,Worth the money,Bengaluru,5 months ago,after watching this for 2 months,  no complaints. reasonable product. who don't want to invest much on electronics and want better features can go for this.
5,Best in the market!,Ahmedabad,5 months ago,Nice one
2,Bad quality,Gandhinagar,5 months ago,Everyone talks well, but does not provide any solution to problems. Different day, different dates, 48 ​​hours 24 hours
5,Brilliant,Junnar,5 months ago,Good product
4,Very Good,Hastinapur,5 months ago,average
5,Fabulous!,Azamgarh,5 months ago,Best Tv
5,Fabulous!,Bengaluru,5 months ago,good
5,Super!,Vasai Virar,5 months ago,it's amazing product in such price
5,Must buy!,Nalbari,5 months ago,awesome
5,Highly recommended,Sidco Industrial Estate Asnoor,5 months ago,nice sound and best picture quality
5,Great product,Vadodara,5 months ago,Thanks to Flipkart give special discount and also Right time product delivery..This is the on of the best product for this prize...Sound system and picture quality is very nice..Go for it...
4,Value-for-money,Mysore,5 months ago,Worth money
5,Best in the market!,Hyderabad,5 months ago,System is good, Booting time is slow and sound quality is not up to the mark
4,Worth the money,Barnala District,5 months ago,Awesome
4,Value-for-money,Greater Noida,5 months ago,nice product.. good picture quality... value for money but not Happy with installation team... very late installation from promise period..
5,Excellent,Bengaluru,5 months ago,good product but Flipkart not supporting for customers
5,Best in the market!,Dediapada,5 months ago,Super...
5,Great product,Bhopal,5 months ago,nice tv
5,Simply awesome,Srikakulam District,5 months ago,nice
5,Wonderful,Biharsharif,5 months ago,Good
5,Classy product,Pen,5 months ago,NICE
3,Fair,Chennai,5 months ago,For this budget , tv is ok but picture and sound quality will not meet the expectation . Most of the movies not play with this tv. Cannot connect with external audio device (except sound bar)
5,Awesome,Gorakhpur,5 months ago,Very nice picture and sound
5,Must buy!,Hapur District,5 months ago,good
5,Must buy!,Ghaziabad,5 months ago,value for money and fast delivery and installation 😊😊😊😊
5,Great product,Rajkot,5 months ago,Superb  product 100% value for money
4,Value-for-money,Hingoli,5 months ago,Value for Money ProductThose who want to Buy Smart TV in Budget segment its one of Best one. Sound quality is Very Nice. All other features perfectly works. only Bad part is picture Black punch is so dull thats why picture quality not getting vibrant. over all Good product Go For it ..We Hope Mi will Give Better care Service onwards.
5,Fabulous!,Chennai,5 months ago,Nice
5,Super!,Bankura,5 months ago,All good,bt sound is not good .bt over all good
4,Worth the money,Karad,5 months ago,nice tv
4,Pretty good,Jamnagar,5 months ago,nice
5,Great product,Tarakeswar,5 months ago,awsome TV picture is so good
4,Wonderful,Chennai,5 months ago,Excellent pics and sound quality, worth for 22k
5,Excellent,Visakhapatnam,5 months ago,Super
5,Perfect product!,Ballarpur,5 months ago,the tv is good but connectivity is not good improve the connectivity cromecast hang problem
5,Worth every penny,Warangal,5 months ago,Good product
5,Mind-blowing purchase,Pathankot,5 months ago,Already we were using Sony led from last 4-5years, and it is equivalent to sony, google play, hotstar etc., each & every function plays very good. moreover delivery/installation by flipcart is also very good.   Value for money, Thanks flipcart.
5,Super!,Dewas,5 months ago,Nice1
5,Worth every penny,New Delhi,5 months ago,Super
5,Must buy!,Patrapur,5 months ago,worth of money. excellent product from MI.
4,Value-for-money,Sitarganj,5 months ago,very good product.i am totally satisfied with this .there is a problem with screen casting not available in this tv only chrome cast support
5,Highly recommended,Barshi,5 months ago,very smart tv beyond expectations love mi and flipkart
1,Useless product,Ernakulam,5 months ago,Need data while casting
4,Good quality product,New Delhi,5 months ago,overall good product
5,Excellent,Godhra,5 months ago,100 % satisfied
5,Just wow!,Rajkot District,5 months ago,BEST PRODUCT IN LOW PRICE
4,Pretty good,Kopargaon,5 months ago,one of the best tv in 43 inch range
5,Worth every penny,Thanjavur,5 months ago,Awesome Shareit also support
5,Fabulous!,Ghaziabad,5 months ago,its an amzing product with amazing price great 👍
4,Pretty good,Gwalior,5 months ago,product is good but installation jeevas service very bad
5,Great product,Raipur,5 months ago,Quality product at this price. Simple to operate with good technology.
5,Simply awesome,Vellore District,5 months ago,gud
5,Terrific,Draksharamam,5 months ago,I think screen is not up to the mark.remaining every thing is good.installation done quickly.technicain behavior good explains well
5,Wonderful,Puducherry,5 months ago,Nice and prefect timing
4,Pretty good,Ghazipur,5 months ago,great TV
1,Hated it!,Tiruchengode,5 months ago,It's not full hd picture quality,  sound effects also not much more that
5,Just wow!,Kota,5 months ago,nice product
5,Wonderful,Jhansi District,5 months ago,awesome experience with mi
5,Worth every penny,Amritsar,5 months ago,very nice product in these price.
5,Excellent,Gaya District,5 months ago,super and nice led tv
4,Value-for-money,Arani Thiruvallur District,5 months ago,good product
5,Brilliant,Mumbai,5 months ago,good
5,Mind-blowing purchase,Chennai,5 months ago,super cute and excited one TV... MI always value for money and quality but sound only need improve all thinks were looking good...
1,Very poor,New Delhi,5 months ago,The only thing I would like to say about the product is it's a smart TV with no smart features. Connectivity is really pathetic. Basic LED TV is far better than this so called smart TV. Complete waste of money
5,Just wow!,Certified Buyer,5 months ago,really great TV at this price range... delivery and installation was on time ..
5,Mind-blowing purchase,Vadodara,5 months ago,Woo hoo Super Android TV.  I am in love with it This is what I want 🙋 super Super super.
5,Great product,Nashik,5 months ago,Presently Best TV in India at this Price.With JIO 4G connection  you can save monthly charges for Set top box and costly subscription .
5,Simply awesome,Bansberia,5 months ago,wonderful product !!
4,Value-for-money,Coimbatore District,5 months ago,TV is value for money and good build but I played 4k video that video was stuck and playing that is problem
4,Really Nice,Certified Buyer,5 months ago,nice😎👍
5,Fabulous!,Certified Buyer,5 months ago,Excellent TV by the way World's Best TV that I have ever seen Every aspect is great
5,Simply awesome,Ganjam District,5 months ago,superb tv
5,Worth every penny,Mathura,5 months ago,really a awesome product value for money
1,Hated it!,Hyderabad,5 months ago,Remote is not working
4,Very Good,Palakkad District,5 months ago,Excellent TV at Excellent price.. Delivered in 1 day.. but the installation and demo is very slow.. they came after 3 days for installation.. but the person who came for the installation is so nice to us and helpful.. I'm very satisfied for the product. but they should improve their installation process..
5,Simply awesome,Sangli,5 months ago,Good picture quality.. Very nice sound quality.. Value for money.. fallen in love with this tv
5,Awesome,Aurangabad,5 months ago,Superb
5,Perfect product!,Barghat,5 months ago,the best product,best picture quality,sound is good.overall best led tv
5,Perfect product!,Trivandrum,5 months ago,Awesome product..just go for it, you won't regret...Would have appreciated if they provided battery, as in my case I had go to shop and get it at the time of installation..A wall mount along with tv would have taken experience to next level..Demo of the product was kind of ok, we figured out most functionalities ourselves which were not shown during demo..
4,Pretty good,Kalyan,5 months ago,Good Product Enought featuresSound is also goodBt Chromecast is not working perfectly and have some another issues in the software otherwise MI Tv is good Value For money Nad installation is Very Quick and Easy...
5,Mind-blowing purchase,Proddatur,5 months ago,Product is good nice packaging and delivery
5,Super!,Dharuhera,5 months ago,nice one
1,Terrible product,Indore,5 months ago,Worst display quality
5,Super!,Surat,5 months ago,Awesome TV... In little budget... Big screen. Thnks MI.
5,Brilliant,Madanapalle,5 months ago,picture quality superb..Value for the mny..
5,Must buy!,Rajkot,5 months ago,Awesome budget range tv. Flipkart delivery and service is very nice..
5,Brilliant,Ahmedabad,5 months ago,Mi tv superb display.
5,Great product,Visakhapatnam,5 months ago,value for money best smart led TV
5,Awesome,Ghazipur,5 months ago,fantastic TV good quality product and picture quality very fine song quality very fine all over all find cheap and best price
5,Awesome,Thane District,5 months ago,very good cost effective product
5,Best in the market!,Vaijapur,5 months ago,good product
4,Worth the money,Bhiwadi,5 months ago,Flipkart fast delivery & Installation on same day.
5,Excellent,Kalladaikurichi,5 months ago,value for Money
1,Horrible,Pusad,5 months ago,bad quality product
5,Excellent,Birpara Tea Garden,5 months ago,Good product, go for it
1,Waste of money!,Rajnandgaon,5 months ago,sound quality very  poor,mobile connectivity very difficult
4,Good quality product,Navsari District,5 months ago,Haven't used the tv yet but it looks cool and perfect.... Everything was perfect except JEEVS (service provider for instalments and demo). These people provide terrible kind of service..So irresponsible and careless i may say. Would like to suggest flipkart to change it for its own n customer's benefits.
4,Value-for-money,Certified Buyer,5 months ago,nice product💖
4,Nice product,Gurdaspur,5 months ago,awesome product
4,Good choice,Kozhikode,5 months ago,Display and sound quality is remarkable at this price
1,Unsatisfactory,Certified Buyer,5 months ago,After starting tv in one hour it is showing error
4,Pretty good,Kurukshetra,5 months ago,I am order mi led TV on 15 may 2019 and delivery on 21 may 2019 delivery it's so late but installation in under 5 hours is good and picture quality is good but sound is ok .
5,Classy product,New Delhi,5 months ago,splendid!!!
5,Super!,Marhaura,5 months ago,Good
5,Terrific purchase,New Delhi,5 months ago,TV is nice, picture and sound quality good. Only installation had a headache.
5,Great product,Lucknow,5 months ago,great quality TVthank you.
4,Mi tv,Mydukur,5 months ago,Very good
5,Brilliant,New Delhi,5 months ago,Awseome MI..nice ....when i saw hd songs on youtube...booom....really awesome clarity... Happy after this purchase...
5,Must buy!,Surat,5 months ago,super
5,Simply awesome,Dhule,5 months ago,best budget TV value for money full feature package amazingly satisfied 👌
4,Wonderful,Certified Buyer,5 months ago,good time delivery and installation with demo,good behaviour of demo engineer.same day done delivery and installation with demo.
4,Value-for-money,Chennai,5 months ago,good
5,Terrific purchase,Hyderabad,5 months ago,Very nice and thanks to all
5,Excellent,Jabalpur,5 months ago,pro : nice picture qualitycorn : more starting time
4,Value-for-money,Bachhrawan,5 months ago,I am very saitisfied with the product and the service provided by the flipkart.Delivery and the instalation was fast.
5,Perfect product!,Chandrapur,5 months ago,good picture quality, sound
5,Mind-blowing purchase,Dohad,5 months ago,Its awesome thanks Flipkart....
4,Delightful,Certified Buyer,5 months ago,Comfortable
1,Worst experience ever!,Pune,5 months ago,install and demo  engineer not coming on times, very bad experience..
5,Fabulous!,Rajkot,5 months ago,Latest technology, all connectivity options, android support, google assistant in remote, and all this at this much least price, what more one wants... !!!
3,Does the job,Amritsar,5 months ago,very nice
5,Super!,Prakasam District,5 months ago,Amazing features at an affordable price. Really enjoying it
5,Mind-blowing purchase,Reis Magos,5 months ago,No words to say more,  deserving more than five star each for product,  delivery and obviously FLIPCART( The best)..  Thnx once again to flipcart for your nice service.
5,Must buy!,Nalgonda,5 months ago,super quality
5,Just wow!,Bishunipur,5 months ago,Good Picture and sound quality  and minimum connectivity problems and your can't share your data throw bt and minimum selected software  in playstore not supported share it or superbeam, chrome an all u can use only just like normal led tv only Chromebook connect to mi mobile phones only
4,Really Nice,Palakkad District,5 months ago,good product ,worth for money...
5,Worth every penny,Hoshiarpur District,5 months ago,very nice  mi led good
5,Brilliant,Limbdi,5 months ago,nice
5,Worth every penny,Ghaziabad,5 months ago,super product by MI and good delivery by flipkart
5,Brilliant,Bhagalpur,5 months ago,Installation demo engineer was very helpful
1,Don't waste your money,Chennai,5 months ago,This is worth with this price but Im not much satisfied due to performance of the tv. Sometimes the tv is restarting when we teying to connect other wifi network. Also if you switched on your tv then you need to wait for 2 to 3 mins to open, its like a mobile device. But in my view tv should be switched on when we turn on the tv, we should not wait for more than 3 mins to see the picture. Wifi network is not refreshing if we turn any new wifi device. Screen mirroring is very worst, playing li...
5,Fabulous!,Bengaluru,5 months ago,good mi
5,Wonderful,Navi Mumbai,5 months ago,Awesome Budget TV
5,Great product,Haora District,5 months ago,Excellent tv .... but Bluetooth function is not good.
5,Mind-blowing purchase,Bhopal,5 months ago,supar
4,Very Good,Chittoor District,5 months ago,Nice
5,Highly recommended,Paonta Sahib,5 months ago,good product in this price
4,Good choice,Vasco Da Gama,5 months ago,nice product
3,Does the job,Bengaluru,5 months ago,not as expected
4,Worth the money,Venkatagiri,5 months ago,best product at low cost
3,Decent product,Bhilai,5 months ago,Better but not best
4,Good quality product,T Narsipura,5 months ago,World best Tv Mi...
5,Excellent,Dibiyapur,5 months ago,good deal nice products
5,Terrific,Manjlegaon,5 months ago,Awesome product save of money
4,Value-for-money,Vadodara,5 months ago,worth buying with cost point of view...
5,Terrific purchase,Ahmedabad,5 months ago,Good
5,Super!,Moga,5 months ago,Product is very good.superb. As expected , MI nailed it with technology and Value for money.
5,Must buy!,New Delhi,5 months ago,Nice product
5,Awesome,Srikakulam District,5 months ago,It's really worthy for money. after cross checking so many TVs I found it's one of the finest ones in this budget. picture quality is very nice if the content is HD . it has so much content only v need internet connrctivi to use it.
5,Simply awesome,Kakinada,5 months ago,Tv is very nice and good delivery and installed
3,Just okay,Thane,5 months ago,slow response on voice command.Ram should have been 2GB. There is lag
5,Super!,Rail,5 months ago,best budget smart tv easy connect
4,Value-for-money,Badami,5 months ago,good product.
5,Perfect product!,Certified Buyer,5 months ago,Good product
5,Perfect product!,Mangaluru,5 months ago,Required minimum 16gb memory and 2gb ram
5,Terrific,Chennai,5 months ago,Good Product. Value for money
4,Wonderful,Lucknow,5 months ago,Looks good as of now, sound quality not superior. in cooler sound tv sound not hearable unless volume is full
5,Classy product,Mathura,5 months ago,Excellent picture and sound.  You tube is playing without interruption. Value for money
5,Worth every penny,Certified Buyer,5 months ago,Great
5,Terrific purchase,Pilkhuwa,5 months ago,good product for Mi
5,Worth every penny,Kolhapur District,5 months ago,Good quality than mi and Flipkart Best sreen good sounds quality big screen
5,Simply awesome,Bally,5 months ago,very good product.value for money
5,Excellent,Jammu,5 months ago,Owsem
5,Best in the market!,Aligarh,5 months ago,I'm just fall in love with mi led
5,Fabulous!,Margao,5 months ago,Fantastic Buy for a very reasonable price...Offers good options in terms of connectivity and content.The only drawback this TV has is that it does not support Netflix...Tried a lot of APK's but Netflix just wont work on it.
4,Good quality product,Patna,5 months ago,its good
4,Pretty good,Guntur,5 months ago,good
5,Great product,Manavadar,5 months ago,thanks flipkart
5,Wonderful,West Godavari District,5 months ago,Very nice
4,Good quality product,Bengaluru,5 months ago,nice
4,Wonderful,Hyderabad,5 months ago,good i love it
4,TV is Good. Worth Buying,Thane,5 months ago,TV is Good. Worth Buying. Need HD connection Set Top Box inorder to get full experience of the TV. Normal Cable TV i.e. analog connection also looks good on this TV but I prefer HD connection Set Top Box.Price is also good.
1,Horrible,Gurgaon,5 months ago,Third rated Chinese product.  One Day  and it stops working and then you do dancing around customer complaint who will make you run pillar to post.Very bad experience. Better spend some more and have peace of mind.Avoid this product.
4,Really Nice,Thane,5 months ago,very good mi tv
5,Worth every penny,Chennai,5 months ago,Nice product
3,Nice,Trichy,5 months ago,good picture clarity.
5,Great product,Kalavad,5 months ago,Amazing Product of miPicture quality 10/10Sound quality 10/10Features 10/10Connectivity 8/10 (only one problem my iball booster 5.1 Bluetooth is not founded by the mi tv)
5,Wonderful,Lachhmangarh,5 months ago,Excellent product... value for money.... loaded with great features. Best picture quality.recieved b4 date. Just go for it.
3,Decent product having Connection error,Badlapur,5 months ago,Product is good. Having connection error. Need to restart app 4-5 times to function  on wifi.
3,Just okay,Bengaluru,5 months ago,picture quality is good Facebook Netflix, Amazon Prime,  apps not working in apps store....... plz don't buy this connectivity problems plz buy branded led tv  whatever cost 📺 don't buy... mi marq thomson like that ok
5,Just wow!,Nit Karaikal,5 months ago,nice
5,Fabulous!,Raichur District,5 months ago,good tv on my budget Jeeves technician Mr prashant reddy  is explain all about on tv  thanks for  filpkart arrange the technician
5,Wonderful,Hyderabad,5 months ago,excellent TV and pictures quality.. very happy with flipkart service.. evening done on perfect time with ease... value for money product..
5,Terrific purchase,Gwalior,5 months ago,awesome product all things are goods but we want your contact no.we want to contact you.because we haven't received the person who have to come for demo
4,Pretty good,Wardha,5 months ago,good
5,Worth every penny,Bengaluru,5 months ago,REALLY NEVER EXPECTED THIS.It's really really really awesome. It's crystal clear. Sound is amazing. No need of sound bar. Installing was done on same day. Just go for it.
3,Decent product,Kanpur,5 months ago,this is the best tv i ever had,very good price range with very detailed hd clearity  nice sound nice remote operation,worth it,,osm
5,Best in the market!,Gwalior,5 months ago,EXCELLENT TV , VALUE FOR MONEY
5,Fabulous!,Beldanga,5 months ago,Good product
5,Awesome,Nagpur,5 months ago,Nice product
5,Great product,Bengaluru,5 months ago,Value for Money Definitely and patchwall OS is way better compare to using Google interface. Sound Quality and network connectivity should hv been better in terms of hardware as my phone has better wifi range from same place.
5,Super!,Surat,5 months ago,good
5,Excellent,Azamgarh,5 months ago,very gud product in very reasonable price
1,Did not meet expectations,Narasingapuram Vellore District,5 months ago,Mirror cast is very poor
3,Just okay,Thrissur,5 months ago,Bidget range smart tv.
5,Just wow!,Indore,5 months ago,tv is more then awesome
5,Classy product,Alwarthirunagiri,5 months ago,Excellent👍👏😆
5,Highly recommended,New Delhi,5 months ago,perfect led tv in 43inch segment
5,Best in the market!,Thiruvananthapuram,5 months ago,good product
5,Simply awesome,Ponda,5 months ago,it was a very good experience of buying a tv online at very low priceand the service was excellent
3,Decent product,Deara,5 months ago,thanks prodact
5,Just wow!,Bengaluru,5 months ago,Nice product at least worth for price.
5,Just wow!,Siwan,5 months ago,very nice forever
5,Awesome,Visakhapatnam District,5 months ago,SuperGood quality
5,Wonderful,Nanded Waghala,5 months ago,Excellent
5,Highly recommended,Thane,5 months ago,Very Nice product in this range, Value for money...
5,Mind-blowing purchase,Asansol,5 months ago,Best tv in this price range. Go for it.Amazing picture quality. Amazing sound.
5,Super!,Hyderabad,5 months ago,Very good tv
4,Nice product,Gurdaspur,5 months ago,Nice product
2,Moderate,Kadi,5 months ago,canecting problem very high sarfing
5,Just wow!,Kolkata,5 months ago,This product I brought is amazing.. Valuable product...
5,Excellent,Kisan Nagar Industrial Area,5 months ago,Nice one nice tv
5,Terrific,Chennai,5 months ago,Awesome TV
3,Decent product,Madurai,5 months ago,good Smart TV at affordable price
5,Must buy!,Thane District,5 months ago,Good product value for money
5,Fabulous!,Sangli Miraj Kupwad,5 months ago,screen, sound, Bluetooth connectivity, picture quality is very nice and led size comfortable43"
5,Awesome,Kochinda,5 months ago,very good
5,Super!,Kadapa,5 months ago,installation person does not come as the scheduled time given , irresponsible person.
3,Decent product,Surat,5 months ago,Average Product
5,Terrific,Etawah,5 months ago,nice product
2,Not good,Kalyan,5 months ago,Please don't waste your hard earned money... fully bakwas product.. poor quality picture.poor sound... don't buy. don't buy.dont buy
5,Worth every penny,Varangaon,5 months ago,simply amazing... just go for it,, value for money product...
5,Terrific purchase,Pinjore,5 months ago,Complete pakeag in Good price fast delivery and installation services.
4,Nice product,New Delhi,5 months ago,Great product and fast delivery in time..
5,Wonderful,Rajahmundry,5 months ago,wonderful
5,Wonderful,Silchar,5 months ago,GOD LEVEL VFM
3,Good,Kolkata,5 months ago,Feature rich on paper but not smart enough as a TV.Pros:- (1) Patchwall experience(2) Segment leadingconnectivity features(3) Decent SpeakersCons:-(1) No Netflix(2) No Prime Videos(3) Inbuilt chromecast doesn't support casting of Netflix(4) Very weak inbuilt Wifi receiver(5) Inbuilt Bluetooth transmitter has compatibility issues(6) Playstore of this TV lacks apps availability(7) Non IPS screen at this price point is a real bummerPls note:- Properly working side-loadable versio...
5,Worth every penny,Kaniyarkode,5 months ago,good
5,Wonderful,Certified Buyer,5 months ago,very good and little bit give more updates
5,Terrific,Pimpri Chinchwad,5 months ago,Good quality, on time delivery, demo And installation person time punctual. over all good 👍
5,Fabulous!,New Town,5 months ago,best tv
5,Brilliant,Varanasi,5 months ago,It's just amazing. The best in this price range
5,Simply awesome,Morbi,5 months ago,Everything is fine in this budget but Sound not up to the mark
5,Brilliant,Ahmedabad,5 months ago,awesome!!!full hd quality and sound quality just wow!! no need for extra speaker
5,Best in the market!,Raigarh,5 months ago,Mi Led smart TV 4A pro is very good product to buy .. .. .. Picture Quality 10/10Sound 10/10Design 10/10Connectivity 10/10Overall Awesome product from Mi. Delivery service is very good fast and safe.
5,Worth every penny,Hyderabad,5 months ago,Less price.. more value. Worth buying.
5,Best in the market!,Karad,5 months ago,Good TV
5,Fabulous!,Hyderabad,5 months ago,this is the best TV that u have not seen in this cost in any of other brands ....
4,Pretty good,Certified Buyer,5 months ago,Nice product
5,Terrific,Certified Buyer,5 months ago,Super
5,Simply awesome,Certified Buyer,5 months ago,good deal and great specs along with speedy delivery
5,Best in the market!,Faridabad,5 months ago,very good TV value for money
5,Terrific,Nuzvid,5 months ago,really very smart tv excellent
2,Not good,Jalna,5 months ago,After use of 10 days I suggest go with Samsung, LG &Sony otherwise we are only writing about review because after purchased we are useless1) Picture Quality: the quality is compare with Samsung,Lg & Sony is 60%(Mi).i) Refresh Rate of Screen: if we are watching sport the player running look like a slow motion, that means this tv is 45HZ Refresh ratio. This is the main cheating did mi with us why people fake so much high review.2) Connectivity: we need third party application for Phone scree...
5,Worth every penny,Tirunelveli District,5 months ago,Good protection
5,Fabulous!,Greater Noida,5 months ago,Nice TV in this price range.  Good Connectivity,  awesome picture quality.
1,Not recommended at all,Pune,5 months ago,Worst experience with installation. Wouldn't even think of getting something from Flipkart just cause of the installation team being unprofessional and the standard.
2,Moderate,Habra,5 months ago,my coin no adiedd
4,Pretty good,Parbhani,5 months ago,there is only one problem with the tv 1) remote quality is very average.tv is perfect in every view.
5,Great product,Allahabad,5 months ago,Awesome tv no black issues wifi connectivity is great 4K vedios looks jaw dropping i gifted this to my mom cant tell the excitements... Sound level awesome home threater like... Chromecast is damm easy & great buy without any doubts mi will wipe out sony Samsung soon 😍😍😍😍😍😍😍😍😍just loving it flipkart services can be better but its ok... Playstore is there as well u will love it
5,Simply awesome,Patna,5 months ago,im very Happy with tv
5,Great product,Haldia,5 months ago,really smart television... worth it.. timely delivered... service is very good...thank you flipkart..
4,Value-for-money,Malappuram District,5 months ago,A good one for an affordable amount
4,Good choice,Bengaluru,5 months ago,good
5,Highly recommended,Kolkata,5 months ago,awesome tv... just that Airtel Wifi not connecting...error showing
5,Just wow!,Azamgarh,5 months ago,I liked everything about the product.Everything worked fine for me.... Amazing
4,Go with MI Phone, TV etc.. everything is good in low budget.,Ahmedabad,5 months ago,Product is Very nice in this budget. Try "Mahadev" serial episode to check your TV resolution and sound clarity .. It's really perfect one. But I am not happy with the "Jeeves" the demo & installation provider of MI because even after 3 days of purchase, they not will respond properly about when they will come for demo and even the allocated person not receiving any call so might you need to wait for unnecessary more full days just to welcoming them.
5,Awesome,Kadiri,5 months ago,very nice tv
5,Highly recommended,Durgapur,5 months ago,Very good product and total value for money. It can compete with many top brands. Awesome picture and features.
4,Good choice,Navi Mumbai,5 months ago,Excellent tv image and sound super body gud protected screeneasily fitted on my existing wall mount .screw hole distance is 4inch x8 inchm6x20 screw size is req .works fine with non hd setup box too.was installed within 24 hours.however the installation guy was not competent as he didnt fit tv on my existing mount which i had to do it.
4,Nice product,Hyderabad,5 months ago,nice tv in this price
4,Good choice,Kanniyakumari District,5 months ago,Picture quality is auto change option. It does not give original colour of the channel.
